Poha         ,20,Indori Style Khatta-Meetha Poha served with sev and lemons,
Samosa       ,15,Punjabi Samosa served with imli and dhaniya chutney       ,
Kachori      ,15,Jodhpuri pyaaz ki kachori with imli chutney               ,
Tea          ,10,Masala chai - The National drink of India                 ,
Coffee       ,15,Nescafe Coffee - For the workaholics
Nimbu Pani   ,10,
Water Bottle ,20,
Coke (200 ml),20,
